time	V(sw)
Step Information: Rload=100  (Run: 1/5)
0.000000000000000e+000	1.306584e+001
1.999997389923180e-013	1.339843e+001
5.999992169769541e-013	1.463374e+001
9.000022949123832e-013	1.506135e+001
9.800008027305296e-013	1.506135e+001
8.388679052784287e-008	1.503471e+001
1.505534571941136e-007	1.501666e+001
2.172201238603844e-007	1.500119e+001
2.838867905266551e-007	1.498857e+001
3.505534571929259e-007	1.497882e+001
4.172201238591966e-007	1.497191e+001
4.838867905254674e-007	1.496787e+001
6.172201238580088e-007	1.496774e+001
6.944453444512888e-007	1.497313e+001
6.944454444546278e-007	1.497313e+001
6.944456444543667e-007	1.782149e+001
6.944460444538447e-007	2.840116e+001
6.944463444499838e-007	3.206332e+001
7.335113138551286e-007	3.206123e+001
7.343076582344565e-007	3.121125e+001
7.347577370211966e-007	2.939145e+001
7.351318874401769e-007	2.735725e+001
7.355883751003489e-007	2.543934e+001
7.359209906326880e-007	2.447548e+001
7.362838135363536e-007	2.375970e+001
7.366842828260278e-007	2.320257e+001
7.370377021198582e-007	2.286163e+001
7.374443444507772e-007	2.257213e+001
7.374444444541162e-007	2.257208e+001
7.374446444538552e-007	2.382019e+001
7.374450444533331e-007	2.845630e+001
7.374453444494722e-007	3.006110e+001
7.793882497095228e-007	3.005750e+001
8.879979016412909e-007	3.004202e+001
9.546645683075616e-007	3.002866e+001
1.021331234973832e-006	3.001208e+001
1.087997901640103e-006	2.999229e+001
1.221331234972645e-006	2.994312e+001
1.348889788893581e-006	2.988496e+001
1.348889888896920e-006	2.988496e+001
1.348890088896659e-006	2.706880e+001
1.348890488896137e-006	1.660876e+001
1.348890788892276e-006	1.298801e+001
1.391888788893070e-006	1.297259e+001
1.391888888896409e-006	1.297259e+001
1.391889088896148e-006	1.330517e+001
1.391889488895626e-006	1.454049e+001
1.391889788891765e-006	1.496810e+001
1.475775679417313e-006	1.494161e+001
1.609109012749854e-006	1.490844e+001
1.675775679416125e-006	1.489605e+001
1.742442346082396e-006	1.488655e+001
1.809109012748666e-006	1.487995e+001
1.875775679414937e-006	1.487625e+001
2.009109012747479e-006	1.487689e+001
2.018667566668075e-006	1.487736e+001
2.085334233341285e-006	1.488271e+001
2.085334333337685e-006	1.488271e+001
2.085334533337424e-006	1.774670e+001
2.085334933336902e-006	2.838437e+001
2.085335233339980e-006	3.206667e+001
2.123333233336466e-006	3.206487e+001
2.123333333339805e-006	3.206487e+001
2.123333533339544e-006	3.173155e+001
2.123333933339022e-006	3.049352e+001
2.123334233335161e-006	3.006497e+001
2.133819899649558e-006	3.006431e+001
2.207220123860709e-006	3.005701e+001
2.273886790526980e-006	3.004714e+001
2.340553457193251e-006	3.003434e+001
2.407220123859521e-006	3.001830e+001
2.473886790525792e-006	2.999906e+001
2.540553457192063e-006	2.997661e+001
2.607220123858334e-006	2.995096e+001
2.701779677788396e-006	2.990974e+001
2.739778677783578e-006	2.989132e+001
2.739778777779978e-006	2.989132e+001
2.739778977779717e-006	2.709006e+001
2.739779377779195e-006	1.668538e+001
2.739779677782273e-006	1.308373e+001
2.777777677785698e-006	1.307016e+001
2.777777777782098e-006	1.307016e+001
2.777777977781837e-006	1.340274e+001
2.777778377781315e-006	1.463806e+001
2.777778677784393e-006	1.506567e+001
2.861664568309941e-006	1.503907e+001
2.994997901642482e-006	1.500561e+001
3.128331234975024e-006	1.498328e+001
3.261664568307565e-006	1.497238e+001
3.405556455560177e-006	1.497274e+001
3.472223122226448e-006	1.497769e+001
3.472223222222848e-006	1.497769e+001
3.472223422222587e-006	1.782656e+001
3.472223822222065e-006	2.840804e+001
3.472224122225143e-006	3.207090e+001
3.511554403159978e-006	3.206879e+001
3.511978865285148e-006	3.162289e+001
3.512827789535489e-006	2.899313e+001
3.513321141075665e-006	2.687754e+001
3.513895214440899e-006	2.471401e+001
3.514143352582877e-006	2.409759e+001
3.514470275294002e-006	2.355326e+001
3.514863312681360e-006	2.307448e+001
3.515222122225936e-006	2.274334e+001
3.515222222222336e-006	2.274327e+001
3.515222422222075e-006	2.396410e+001
3.515222822221553e-006	2.849890e+001
