time	V(vload)	V(vsw)	I(L)
1.378571385713639e-005	9.491002e+000	-9.692540e-002	4.846282e+000
1.414285642856569e-005	9.490600e+000	-9.555513e-002	4.777769e+000
1.449999899999499e-005	9.490077e+000	-9.418508e-002	4.709267e+000
1.449999909999833e-005	9.490077e+000	-9.418508e-002	4.709266e+000
1.449999930000501e-005	9.490077e+000	3.154702e+000	4.709266e+000
1.449999970000448e-005	9.490077e+000	1.522167e+001	4.709267e+000
1.450000000000062e-005	9.490077e+000	1.939869e+001	4.709267e+000
1.466111043217247e-005	9.489890e+000	1.937275e+001	4.741131e+000
1.482222086434432e-005	9.489729e+000	1.934665e+001	4.772912e+000
1.498333129651617e-005	9.489592e+000	1.932037e+001	4.804610e+000
1.514444172868802e-005	9.489479e+000	1.929391e+001	4.836224e+000
1.530555216085988e-005	9.489392e+000	1.926728e+001	4.867756e+000
1.546666259303172e-005	9.489329e+000	1.924048e+001	4.899204e+000
1.562777302520357e-005	9.489291e+000	1.921350e+001	4.930569e+000
1.594777302520167e-005	9.489292e+000	1.915944e+001	4.992599e+000
1.626777302519977e-005	9.489391e+000	1.910472e+001	5.054281e+000
1.644380530731380e-005	9.489488e+000	1.907433e+001	5.088061e+000
1.661983758942783e-005	9.489614e+000	1.904375e+001	5.121733e+000
1.679586987154187e-005	9.489769e+000	1.901299e+001	5.155297e+000
1.697190215365590e-005	9.489953e+000	1.898203e+001	5.188754e+000
1.714793443576993e-005	9.490166e+000	1.895088e+001	5.222103e+000
1.732396671788396e-005	9.490407e+000	1.891954e+001	5.255344e+000
1.749999899999799e-005	9.490678e+000	1.888801e+001	5.288477e+000
1.749999910000133e-005	9.490678e+000	1.888801e+001	5.288477e+000
1.749999929999413e-005	9.490678e+000	1.572245e+001	5.288477e+000
1.749999969999361e-005	9.490678e+000	3.964299e+000	5.288477e+000
1.749999999998975e-005	9.490678e+000	-1.057693e-001	5.288477e+000
1.750004087965051e-005	9.490678e+000	-1.057691e-001	5.288469e+000
1.785717789684219e-005	9.491060e+000	-1.043975e-001	5.219888e+000
1.821431491403387e-005	9.491320e+000	-1.030261e-001	5.151317e+000
1.857145193122554e-005	9.491459e+000	-1.016549e-001	5.082757e+000
1.892858894841722e-005	9.491478e+000	-1.002839e-001	5.014206e+000
1.928572596560890e-005	9.491375e+000	-9.891307e-002	4.945665e+000
1.964286298280057e-005	9.491150e+000	-9.754246e-002	4.877135e+000
1.999999999999225e-005	9.490805e+000	-9.617204e-002	4.808614e+000
2.000000009999559e-005	9.490805e+000	-9.617203e-002	4.808614e+000
2.000000030000226e-005	9.490805e+000	3.150264e+000	4.808614e+000
2.000000070000174e-005	9.490805e+000	1.520813e+001	4.808615e+000
2.000000099999788e-005	9.490805e+000	1.938199e+001	4.808615e+000
2.013825428931272e-005	9.490711e+000	1.933125e+001	4.835865e+000
2.027650757862757e-005	9.490636e+000	1.928022e+001	4.862976e+000
2.041476086794241e-005	9.490579e+000	1.922891e+001	4.889949e+000
2.055301415725725e-005	9.490539e+000	1.917732e+001	4.916783e+000
2.069126744657209e-005	9.490518e+000	1.912545e+001	4.943478e+000
2.082952073588694e-005	9.490515e+000	1.907329e+001	4.970034e+000
2.096777402520178e-005	9.490530e+000	1.902085e+001	4.996452e+000
2.112777402520083e-005	9.490569e+000	1.895984e+001	5.026835e+000
2.144777402519893e-005	9.490721e+000	1.883673e+001	5.087012e+000
2.200000000000812e-005	9.491199e+000	1.862105e+001	5.189038e+000
2.200000010001146e-005	9.491199e+000	1.862105e+001	5.189038e+000
2.200000030000426e-005	9.491199e+000	1.550032e+001	5.189038e+000
2.200000070000374e-005	9.491199e+000	3.908658e+000	5.189038e+000
2.200000099999988e-005	9.491199e+000	-1.037805e-001	5.189038e+000
2.235714357142720e-005	9.491403e+000	-1.024091e-001	5.120468e+000
2.271428614285452e-005	9.491485e+000	-1.010379e-001	5.051909e+000
2.307142871428184e-005	9.491447e+000	-9.966699e-002	4.983361e+000
2.342857128570916e-005	9.491288e+000	-9.829627e-002	4.914825e+000
2.378571385713648e-005	9.491007e+000	-9.692577e-002	4.846300e+000
2.414285642856380e-005	9.490606e+000	-9.555550e-002	4.777787e+000
2.449999899999111e-005	9.490083e+000	-9.418546e-002	4.709285e+000
2.449999909999445e-005	9.490083e+000	-9.418547e-002	4.709285e+000
2.449999930000113e-005	9.490083e+000	3.154700e+000	4.709285e+000
2.449999970000061e-005	9.490083e+000	1.522166e+001	4.709285e+000
2.449999999999675e-005	9.490083e+000	1.939867e+001	4.709285e+000
2.466111043216860e-005	9.489896e+000	1.937274e+001	4.741149e+000
2.482222086434045e-005	9.489734e+000	1.934664e+001	4.772930e+000
2.498333129651230e-005	9.489596e+000	1.932036e+001	4.804628e+000
2.514444172868415e-005	9.489484e+000	1.929390e+001	4.836242e+000
2.530555216085600e-005	9.489397e+000	1.926727e+001	4.867774e+000
2.546666259302785e-005	9.489334e+000	1.924047e+001	4.899222e+000
2.562777302519970e-005	9.489297e+000	1.921349e+001	4.930587e+000
2.594777302519780e-005	9.489298e+000	1.915943e+001	4.992618e+000
2.626777302519590e-005	9.489397e+000	1.910470e+001	5.054299e+000
2.644380530731191e-005	9.489494e+000	1.907432e+001	5.088079e+000
2.661983758942792e-005	9.489620e+000	1.904374e+001	5.121751e+000
2.679586987154394e-005	9.489775e+000	1.901297e+001	5.155315e+000
2.697190215365995e-005	9.489959e+000	1.898201e+001	5.188771e+000
2.714793443577597e-005	9.490172e+000	1.895086e+001	5.222120e+000
2.732396671789198e-005	9.490413e+000	1.891952e+001	5.255362e+000
2.749999900000799e-005	9.490684e+000	1.888799e+001	5.288495e+000
2.749999910001133e-005	9.490684e+000	1.888799e+001	5.288495e+000
2.749999930000413e-005	9.490684e+000	1.572244e+001	5.288495e+000
2.749999970000361e-005	9.490684e+000	3.964296e+000	5.288495e+000
2.749999999999975e-005	9.490684e+000	-1.057696e-001	5.288495e+000
2.785714285714296e-005	9.491065e+000	-1.043980e-001	5.219913e+000
2.821428571428618e-005	9.491326e+000	-1.030266e-001	5.151341e+000
2.857142857142939e-005	9.491465e+000	-1.016553e-001	5.082779e+000
2.892857142857260e-005	9.491483e+000	-1.002843e-001	5.014227e+000
2.928571428571582e-005	9.491380e+000	-9.891345e-002	4.945685e+000
2.964285714285904e-005	9.491156e+000	-9.754282e-002	4.877153e+000
3.000000000000225e-005	9.490810e+000	-9.617238e-002	4.808631e+000
3.000000010000559e-005	9.490810e+000	-9.617239e-002	4.808631e+000
3.000000030001226e-005	9.490810e+000	3.150266e+000	4.808631e+000
3.000000070001174e-005	9.490810e+000	1.520814e+001	4.808632e+000
3.000000100000788e-005	9.490810e+000	1.938201e+001	4.808632e+000
3.013825428932272e-005	9.490717e+000	1.933126e+001	4.835882e+000
3.027650757863757e-005	9.490642e+000	1.928024e+001	4.862993e+000
3.041476086795241e-005	9.490584e+000	1.922893e+001	4.889966e+000
3.055301415726725e-005	9.490545e+000	1.917734e+001	4.916800e+000
3.069126744658209e-005	9.490524e+000	1.912546e+001	4.943495e+000
3.082952073589694e-005	9.490521e+000	1.907331e+001	4.970052e+000
3.096777402521178e-005	9.490536e+000	1.902087e+001	4.996469e+000
3.112777402521083e-005	9.490575e+000	1.895986e+001	5.026853e+000
3.144777402520893e-005	9.490726e+000	1.883675e+001	5.087030e+000
3.200000000000425e-005	9.491204e+000	1.862107e+001	5.189056e+000
3.200000010000759e-005	9.491204e+000	1.862107e+001	5.189056e+000
3.200000030000039e-005	9.491204e+000	1.550033e+001	5.189056e+000
3.200000069999986e-005	9.491204e+000	3.908661e+000	5.189055e+000
3.200000099999600e-005	9.491204e+000	-1.037809e-001	5.189055e+000
3.235714357142531e-005	9.491408e+000	-1.024095e-001	5.120485e+000
3.271428614285461e-005	9.491491e+000	-1.010383e-001	5.051927e+000
3.307142871428391e-005	9.491453e+000	-9.966734e-002	4.983379e+000
3.342857128571321e-005	9.491293e+000	-9.829661e-002	4.914843e+000
3.378571385714251e-005	9.491013e+000	-9.692612e-002	4.846318e+000
3.414285642857181e-005	9.490611e+000	-9.555584e-002	4.777804e+000
3.449999900000111e-005	9.490088e+000	-9.418580e-002	4.709302e+000
3.449999910000445e-005	9.490088e+000	-9.418583e-002	4.709302e+000
3.449999930001113e-005	9.490088e+000	3.154697e+000	4.709302e+000
3.449999970001061e-005	9.490088e+000	1.522165e+001	4.709302e+000
3.450000000000675e-005	9.490088e+000	1.939866e+001	4.709302e+000
3.461539614646458e-005	9.489953e+000	1.938011e+001	4.732132e+000
3.473079229292242e-005	9.489829e+000	1.936146e+001	4.754919e+000
3.484618843938026e-005	9.489719e+000	1.934273e+001	4.777665e+000
3.496158458583809e-005	9.489620e+000	1.932390e+001	4.800369e+000
3.507698073229593e-005	9.489535e+000	1.930499e+001	4.823031e+000
3.519237687875376e-005	9.489461e+000	1.928598e+001	4.845651e+000
3.530777302521160e-005	9.489401e+000	1.926689e+001	4.868230e+000
3.546777302521065e-005	9.489340e+000	1.924026e+001	4.899459e+000
3.594777302520780e-005	9.489304e+000	1.915941e+001	4.992634e+000
3.626777302520590e-005	9.489403e+000	1.910469e+001	5.054316e+000
3.644380530731993e-005	9.489500e+000	1.907431e+001	5.088095e+000
3.661983758943396e-005	9.489627e+000	1.904373e+001	5.121767e+000
3.679586987154799e-005	9.489782e+000	1.901296e+001	5.155331e+000
3.697190215366202e-005	9.489966e+000	1.898200e+001	5.188788e+000
3.714793443577605e-005	9.490178e+000	1.895085e+001	5.222136e+000
3.732396671789009e-005	9.490419e+000	1.891951e+001	5.255377e+000
3.749999900000411e-005	9.490689e+000	1.888798e+001	5.288511e+000
3.749999910000745e-005	9.490689e+000	1.888798e+001	5.288511e+000
3.749999930000025e-005	9.490689e+000	1.572243e+001	5.288511e+000
3.749999969999973e-005	9.490689e+000	3.964293e+000	5.288511e+000
3.749999999999587e-005	9.490689e+000	-1.057700e-001	5.288511e+000
3.782111009955188e-005	9.491038e+000	-1.045367e-001	5.226848e+000
3.814222019910789e-005	9.491289e+000	-1.033036e-001	5.165193e+000
3.846333029866390e-005	9.491442e+000	-1.020707e-001	5.103546e+000
3.878444039821992e-005	9.491497e+000	-1.008379e-001	5.041907e+000
3.910555049777593e-005	9.491453e+000	-9.960528e-002	4.980276e+000
3.942666059733194e-005	9.491312e+000	-9.837281e-002	4.918653e+000
3.974777069688795e-005	9.491072e+000	-9.714051e-002	4.857038e+000
3.983999999999932e-005	9.490984e+000	-9.678661e-002	4.839343e+000
3.999999999999837e-005	9.490816e+000	-9.617270e-002	4.808647e+000
